Date : 2025-11-16 11:22:34
Directory : d:\Mycodes\Gitrepos\javascript-algorithms
Total : 621 files,  47073 codes, 4544 comments, 9455 blanks, all 61072 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\algorithms\graph\travelling-salesman (Files)                                                                                                         |          2 |         73 |         32 |         27 |        132 |
| src\algorithms\graph\travelling-salesman\__test__                                                                                                        |          1 |         44 |          0 |          8 |         52 |
| src\algorithms\image-processing                                                                                                                          |          5 |        890 |        154 |        356 |      1,400 |
| src\algorithms\image-processing\seam-carving                                                                                                             |          4 |        880 |        128 |        352 |      1,360 |
| src\algorithms\image-processing\seam-carving (Files)                                                                                                     |          3 |        825 |        115 |        334 |      1,274 |
| src\algorithms\image-processing\seam-carving\__tests__                                                                                                   |          1 |         55 |         13 |         18 |         86 |
| src\algorithms\image-processing\utils                                                                                                                    |          1 |         10 |         26 |          4 |         40 |
| src\algorithms\linked-list                                                                                                                               |         11 |        141 |         34 |         85 |        260 |
| src\algorithms\linked-list\reverse-traversal                                                                                                             |          5 |         65 |         25 |         39 |        129 |
| src\algorithms\linked-list\reverse-traversal (Files)                                                                                                     |          4 |         48 |         13 |         32 |         93 |
| src\algorithms\linked-list\reverse-traversal\__test__                                                                                                    |          1 |         17 |         12 |          7 |         36 |
| src\algorithms\linked-list\traversal                                                                                                                     |          6 |         76 |          9 |         46 |        131 |
| src\algorithms\linked-list\traversal (Files)                                                                                                             |          5 |         59 |          9 |         40 |        108 |
| src\algorithms\linked-list\traversal\__test__                                                                                                            |          1 |         17 |          0 |          6 |         23 |
| src\algorithms\math                                                                                                                                      |        132 |      4,497 |        808 |      1,427 |      6,732 |
| src\algorithms\math\binary-floating-point                                                                                                                |          6 |        250 |         95 |         67 |        412 |
| src\algorithms\math\binary-floating-point (Files)                                                                                                        |          4 |        203 |         95 |         60 |        358 |
| src\algorithms\math\binary-floating-point\__tests__                                                                                                      |          2 |         47 |          0 |          7 |         54 |
| src\algorithms\math\bits                                                                                                                                 |         35 |        901 |        176 |        319 |      1,396 |
| src\algorithms\math\bits (Files)                                                                                                                         |         19 |        669 |        166 |        280 |      1,115 |
| src\algorithms\math\bits\__test__                                                                                                                        |         16 |        232 |         10 |         39 |        281 |
| src\algorithms\math\complex-number                                                                                                                       |          4 |        533 |         54 |        223 |        810 |
| src\algorithms\math\complex-number (Files)                                                                                                               |          3 |        398 |         54 |        176 |        628 |
| src\algorithms\math\complex-number\__test__                                                                                                              |          1 |        135 |          0 |         47 |        182 |
| src\algorithms\math\euclidean-algorithm                                                                                                                  |          6 |        148 |         19 |         35 |        202 |
| src\algorithms\math\euclidean-algorithm (Files)                                                                                                          |          4 |         98 |         19 |         31 |        148 |
| src\algorithms\math\euclidean-algorithm\__test__                                                                                                         |          2 |         50 |          0 |          4 |         54 |
| src\algorithms\math\euclidean-distance                                                                                                                   |          3 |         50 |         11 |         29 |         90 |
| src\algorithms\math\euclidean-distance (Files)                                                                                                           |          2 |         30 |         11 |         25 |         66 |
| src\algorithms\math\euclidean-distance\__tests__                                                                                                         |          1 |         20 |          0 |          4 |         24 |
| src\algorithms\math\factorial                                                                                                                            |         10 |        197 |          8 |         47 |        252 |
| src\algorithms\math\factorial (Files)                                                                                                                    |          8 |        177 |          8 |         43 |        228 |
| src\algorithms\math\factorial\__test__                                                                                                                   |          2 |         20 |          0 |          4 |         24 |
| src\algorithms\math\fast-powering                                                                                                                        |          4 |        127 |         17 |         57 |        201 |
| src\algorithms\math\fast-powering (Files)                                                                                                                |          3 |        105 |         17 |         55 |        177 |
| src\algorithms\math\fast-powering\__test__                                                                                                               |          1 |         22 |          0 |          2 |         24 |
| src\algorithms\math\fibonacci                                                                                                                            |         10 |        155 |         23 |         66 |        244 |
| src\algorithms\math\fibonacci (Files)                                                                                                                    |          7 |         95 |         23 |         58 |        176 |
| src\algorithms\math\fibonacci\__test__                                                                                                                   |          3 |         60 |          0 |          8 |         68 |
| src\algorithms\math\fourier-transform                                                                                                                    |          9 |        652 |         85 |        156 |        893 |
| src\algorithms\math\fourier-transform (Files)                                                                                                            |          5 |        290 |         63 |        124 |        477 |
| src\algorithms\math\fourier-transform\__test__                                                                                                           |          4 |        362 |         22 |         32 |        416 |
| src\algorithms\math\horner-method                                                                                                                        |          5 |         59 |         16 |         17 |         92 |
| src\algorithms\math\horner-method (Files)                                                                                                                |          3 |         27 |         16 |         12 |         55 |
| src\algorithms\math\horner-method\__test__                                                                                                               |          2 |         32 |          0 |          5 |         37 |
| src\algorithms\math\integer-partition                                                                                                                    |          3 |         62 |         28 |         18 |        108 |
| src\algorithms\math\integer-partition (Files)                                                                                                            |          2 |         49 |         28 |         16 |         93 |
| src\algorithms\math\integer-partition\__test__                                                                                                           |          1 |         13 |          0 |          2 |         15 |
| src\algorithms\math\is-power-of-two                                                                                                                      |          5 |        101 |         28 |         24 |        153 |
| src\algorithms\math\is-power-of-two (Files)                                                                                                              |          3 |         57 |         28 |         20 |        105 |
| src\algorithms\math\is-power-of-two\__test__                                                                                                             |          2 |         44 |          0 |          4 |         48 |
| src\algorithms\math\least-common-multiple                                                                                                                |          3 |         65 |          5 |         24 |         94 |
| src\algorithms\math\least-common-multiple (Files)                                                                                                        |          2 |         48 |          5 |         22 |         75 |
| src\algorithms\math\least-common-multiple\__test__                                                                                                       |          1 |         17 |          0 |          2 |         19 |
| src\algorithms\math\liu-hui                                                                                                                              |          3 |        101 |         24 |         43 |        168 |
| src\algorithms\math\liu-hui (Files)                                                                                                                      |          2 |         86 |         24 |         38 |        148 |
| src\algorithms\math\liu-hui\__test__                                                                                                                     |          1 |         15 |          0 |          5 |         20 |
| src\algorithms\math\matrix                                                                                                                               |          3 |        588 |        123 |        119 |        830 |
| src\algorithms\math\matrix (Files)                                                                                                                       |          2 |        187 |        123 |         64 |        374 |
| src\algorithms\math\matrix\__tests__                                                                                                                     |          1 |        401 |          0 |         55 |        456 |
| src\algorithms\math\pascal-triangle                                                                                                                      |          5 |         96 |         14 |         33 |        143 |
| src\algorithms\math\pascal-triangle (Files)                                                                                                              |          3 |         70 |         14 |         29 |        113 |
| src\algorithms\math\pascal-triangle\__test__                                                                                                             |          2 |         26 |          0 |          4 |         30 |
| src\algorithms\math\primality-test                                                                                                                       |          3 |         70 |         13 |         17 |        100 |
| src\algorithms\math\primality-test (Files)                                                                                                               |          2 |         41 |          9 |         12 |         62 |
| src\algorithms\math\primality-test\__test__                                                                                                              |          1 |         29 |          4 |          5 |         38 |
| src\algorithms\math\prime-factors                                                                                                                        |          4 |        126 |         26 |         56 |        208 |
| src\algorithms\math\prime-factors (Files)                                                                                                                |          3 |         59 |         20 |         41 |        120 |
| src\algorithms\math\prime-factors\__test__                                                                                                               |          1 |         67 |          6 |         15 |         88 |
| src\algorithms\math\radian                                                                                                                               |          5 |         53 |          8 |         18 |         79 |
| src\algorithms\math\radian (Files)                                                                                                                       |          3 |         31 |          8 |         14 |         53 |
| src\algorithms\math\radian\__test__                                                                                                                      |          2 |         22 |          0 |          4 |         26 |
| src\algorithms\math\sieve-of-eratosthenes                                                                                                                |          3 |         48 |         14 |         21 |         83 |
| src\algorithms\math\sieve-of-eratosthenes (Files)                                                                                                        |          2 |         37 |         14 |         19 |         70 |
| src\algorithms\math\sieve-of-eratosthenes\__test__                                                                                                       |          1 |         11 |          0 |          2 |         13 |
| src\algorithms\math\square-root                                                                                                                          |          3 |        115 |         21 |         38 |        174 |
| src\algorithms\math\square-root (Files)                                                                                                                  |          2 |         55 |         21 |         28 |        104 |
| src\algorithms\math\square-root\__test__                                                                                                                 |          1 |         60 |          0 |         10 |         70 |
| src\algorithms\ml                                                                                                                                        |          8 |        280 |         38 |        109 |        427 |
| src\algorithms\ml\k-means                                                                                                                                |          4 |        130 |         23 |         51 |        204 |
| src\algorithms\ml\k-means (Files)                                                                                                                        |          3 |         96 |         23 |         44 |        163 |
| src\algorithms\ml\k-means\__test__                                                                                                                       |          1 |         34 |          0 |          7 |         41 |
| src\algorithms\ml\knn                                                                                                                                    |          4 |        150 |         15 |         58 |        223 |
| src\algorithms\ml\knn (Files)                                                                                                                            |          3 |         89 |         15 |         47 |        151 |
| src\algorithms\ml\knn\__test__                                                                                                                           |          1 |         61 |          0 |         11 |         72 |
| src\algorithms\search                                                                                                                                    |         15 |        335 |         64 |        108 |        507 |
| src\algorithms\search\binary-search                                                                                                                      |          5 |        104 |         19 |         37 |        160 |
| src\algorithms\search\binary-search (Files)                                                                                                              |          4 |         74 |         19 |         32 |        125 |
| src\algorithms\search\binary-search\__test__                                                                                                             |          1 |         30 |          0 |          5 |         35 |
| src\algorithms\search\interpolation-search                                                                                                               |          3 |         77 |         20 |         22 |        119 |
| src\algorithms\search\interpolation-search (Files)                                                                                                       |          2 |         54 |         20 |         20 |         94 |
| src\algorithms\search\interpolation-search\__test__                                                                                                      |          1 |         23 |          0 |          2 |         25 |
| src\algorithms\search\jump-search                                                                                                                        |          3 |         81 |         17 |         22 |        120 |
| src\algorithms\search\jump-search (Files)                                                                                                                |          2 |         46 |         17 |         17 |         80 |
| src\algorithms\search\jump-search\__test__                                                                                                               |          1 |         35 |          0 |          5 |         40 |
| src\algorithms\search\linear-search                                                                                                                      |          4 |         73 |          8 |         27 |        108 |
| src\algorithms\search\linear-search (Files)                                                                                                              |          3 |         41 |          8 |         18 |         67 |
| src\algorithms\search\linear-search\__test__                                                                                                             |          1 |         32 |          0 |          9 |         41 |
| src\algorithms\sets                                                                                                                                      |         49 |      1,434 |        334 |        434 |      2,202 |
| src\algorithms\sets\cartesian-product                                                                                                                    |          3 |         36 |         12 |         15 |         63 |
| src\algorithms\sets\cartesian-product (Files)                                                                                                            |          2 |         21 |         12 |         10 |         43 |
| src\algorithms\sets\cartesian-product\__test__                                                                                                           |          1 |         15 |          0 |          5 |         20 |
| src\algorithms\sets\combination-sum                                                                                                                      |          3 |         95 |         26 |         31 |        152 |
| src\algorithms\sets\combination-sum (Files)                                                                                                              |          2 |         76 |         26 |         25 |        127 |
| src\algorithms\sets\combination-sum\__test__                                                                                                             |          1 |         19 |          0 |          6 |         25 |
| src\algorithms\sets\combinations                                                                                                                         |          5 |        177 |         25 |         58 |        260 |
| src\algorithms\sets\combinations (Files)                                                                                                                 |          3 |         74 |         24 |         37 |        135 |
| src\algorithms\sets\combinations\__test__                                                                                                                |          2 |        103 |          1 |         21 |        125 |
| src\algorithms\sets\fisher-yates                                                                                                                         |          3 |         36 |          5 |         11 |         52 |
| src\algorithms\sets\fisher-yates (Files)                                                                                                                 |          2 |         20 |          5 |          7 |         32 |
| src\algorithms\sets\fisher-yates\__test__                                                                                                                |          1 |         16 |          0 |          4 |         20 |
| src\algorithms\sets\knapsack-problem                                                                                                                     |          5 |        345 |         58 |         96 |        499 |
| src\algorithms\sets\knapsack-problem (Files)                                                                                                             |          3 |        189 |         58 |         53 |        300 |
| src\algorithms\sets\knapsack-problem\__test__                                                                                                            |          2 |        156 |          0 |         43 |        199 |
| src\algorithms\sets\longest-common-subsequence                                                                                                           |          5 |        112 |         28 |         34 |        174 |
| src\algorithms\sets\longest-common-subsequence (Files)                                                                                                   |          3 |         72 |         28 |         24 |        124 |
| src\algorithms\sets\longest-common-subsequence\__test__                                                                                                  |          2 |         40 |          0 |         10 |         50 |
| src\algorithms\sets\longest-increasing-subsequence                                                                                                       |          3 |         74 |         36 |         28 |        138 |
| src\algorithms\sets\longest-increasing-subsequence (Files)                                                                                               |          2 |         57 |         21 |         23 |        101 |
| src\algorithms\sets\longest-increasing-subsequence\__test__                                                                                              |          1 |         17 |         15 |          5 |         37 |
| src\algorithms\sets\maximum-subarray                                                                                                                     |          7 |        114 |         47 |         27 |        188 |
| src\algorithms\sets\maximum-subarray (Files)                                                                                                             |          4 |         69 |         47 |         21 |        137 |
| src\algorithms\sets\maximum-subarray\__test__                                                                                                            |          3 |         45 |          0 |          6 |         51 |
| src\algorithms\sets\permutations                                                                                                                         |          5 |        179 |         16 |         47 |        242 |
| src\algorithms\sets\permutations (Files)                                                                                                                 |          3 |         69 |         16 |         35 |        120 |
| src\algorithms\sets\permutations\__test__                                                                                                                |          2 |        110 |          0 |         12 |        122 |
| src\algorithms\sets\power-set                                                                                                                            |          7 |        179 |         62 |         60 |        301 |
| src\algorithms\sets\power-set (Files)                                                                                                                    |          4 |        116 |         62 |         50 |        228 |
| src\algorithms\sets\power-set\__test__                                                                                                                   |          3 |         63 |          0 |         10 |         73 |
| src\algorithms\sets\shortest-common-supersequence                                                                                                        |          3 |         87 |         19 |         27 |        133 |
| src\algorithms\sets\shortest-common-supersequence (Files)                                                                                                |          2 |         62 |         14 |         21 |         97 |
| src\algorithms\sets\shortest-common-supersequence\__test__                                                                                               |          1 |         25 |          5 |          6 |         36 |
| src\algorithms\sorting                                                                                                                                   |         46 |      1,500 |        219 |        498 |      2,217 |
| src\algorithms\sorting (Files)                                                                                                                           |          2 |         77 |         11 |         20 |        108 |
